Server,UserID,ATINTradeID,ATINOrderID,OrderID,ExchangeOrderNo,ExchangeTradeID,OrderTime,ExchangeOrderTime,ExchangeTradeTime,Exchange,SecurityID,Symbol,Expiry Date,SecurityType,OptionType,Side,OrderType,Quantity,PendingQuantity,Price,StrikePrice,ClientID,ReferenceText,ManagerID,MemberID,StrategyID,CTCLID,ProductType,OpenClose,Multiplier,Pancard,TerminalInfo,AlgoID,AlgoCategory,ParticipantID,Amount,Id
Default,M13,1,4,2,0HPYSW004,34292,20190513-10:52:40:1557,20190513-10:49:55.919,20190513-10:53:09.812,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,1,7397,0,M13,Spinmt:19024,M13,123,0,123,CCE,NONE,10,,,,0,,73970,M13TTSIM:AM13CL CLV00220921
Default,M13,2,9,3,0HPYSW007,34303,20190513-10:52:41:1557,20190513-10:53:09.888,20190513-10:53:09.889,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7478,0,M13,Spinmt:19023,M13,123,0,123,CCE,NONE,10,,,,0,,-74780,M13TTSIM:AM13CL CLX00220920
Default,M13,3,10,4,0HPYSW008,34724,20190513-10:52:59:1557,20190513-10:53:12.071,20190513-10:53:32.831,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,1,7402,0,M13,Spinmt:19025,M13,123,0,123,CCE,NONE,10,,,,0,,74020,M13TTSIM:AM13CL CLV00220921
Default,M13,4,11,5,0HPYSW009,34745,20190513-10:53:05:1557,20190513-10:53:33.073,20190513-10:53:33.073,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7483,0,M13,Spinmt:19023,M13,123,0,123,CCE,NONE,10,,,,0,,-74830,M13TTSIM:AM13CL CLX00220920
Default,M13,5,3,1,0HPYSW003,35431,20190513-10:53:42:1557,20190513-10:49:55.863,20190513-10:54:11.839,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7388,0,M13,Spinmt:19023,M13,123,0,123,CCE,NONE,10,,,,0,,-73880,M13TTSIM:AM13CL CLV00220921
Default,M13,6,13,7,0HPYSW011,35436,20190513-10:53:44:1557,25024,20190513-10:54:11.935,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,1,7471,0,M13,Spinmt:19023,M13,123,0,123,CCE,NONE,10,,,,0,,74710,M13TTSIM:AM13CL CLX00220920
Default,M13,7,14,8,0HPYSW012,35521,20190513-10:53:45:1557,20190513-10:54:13.948,20190513-10:54:13.948,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,0,7388,0,M13,Spinmt:19027,M13,123,0,123,CCE,NONE,10,,,,0,,-73880,M13TTSIM:AM13CL CLV00220921
Default,M13,8,15,9,0HPYSW013,35524,20190513-10:53:46:1557,20190513-10:54:14.013,20190513-10:54:14.015,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,0,7471,0,M13,Spinmt:19027,M13,123,0,123,CCE,NONE,10,,,,0,,74710,M13TTSIM:AM13CL CLX00220920
Default,M13,9,16,10,0HPYSW014,38625,20190513-10:56:24:1557,20190513-10:54:16.946,20190513-10:57:00.854,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7384,0,M13,Spinmt:19028,M13,123,0,123,CCE,NONE,10,,,,0,,-73840,M13TTSIM:AM13CL CLV00220921
Default,M13,10,17,11,0HPYSW015,38650,20190513-10:56:33:1557,20190513-10:57:01.001,20190513-10:57:01.002,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Sell,Limit,1,1,7467,0,M13,Spinmt:19028,M13,123,0,123,CCE,NONE,10,,,,0,,74670,M13TTSIM:AM13CL CLX00220920
Default,M13,11,12,6,0HPYSW010,40060,20190513-10:57:30:1557,20190513-10:53:35.066,20190513-10:58:01.934,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,0,7400,0,M13,Spinmt:19026,M13,123,0,123,CCE,NONE,10,,,,0,,74000,M13TTSIM:AM13CL CLV00220921
Default,A2,12,2,2,0HPYSW002,40062,20190513-10:57:30:1557,20190513-10:49:46.898,20190513-10:58:01.935,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Sell,Limit,1,0,7402,0,M13,NIFTY,M13,123,53,123,CCE,NONE,10,,,,0,,74020,A2TTSIM:AM13CL CLV00220921
Default,A2,13,21,3,0HPYSW019,40067,20190513-10:57:34:1557,20190513-10:58:02.052,20190513-10:58:02.052,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7491,0,M13,NIFTY,M13,123,53,123,CCE,NONE,10,,,,0,,-74910,A2TTSIM:AM13CL CLX00220920
Default,M13,14,22,13,0HPYSW020,40071,20190513-10:57:34:1557,20190513-10:58:02.100,20190513-10:58:02.100,TTSIM:A,CL CLX0,CL CLX0,22-Sep-20,FUTURE,,Buy,Limit,1,0,7491,0,M13,Spinmt:19029,M13,123,0,123,CCE,NONE,10,,,,0,,-74910,M13TTSIM:AM13CL CLX00220920
Default,M13,15,18,12,0HPYSW016,48699,20190513-11:00:55:1557,20190513-10:57:03.991,20190513-11:01:28.015,TTSIM:A,CL CLV0,CL CLV0,22-Sep-21,FUTURE,,Buy,Limit,1,1,7422,0,M13,Spinmt:19029,M13,123,0,123,CCE,NONE,10,,,,0,,-74220,M13TTSIM:AM13CL CLV00220921
